;EUR;DKK;BGN;XOF;XAF;KMF;EEK;FIM;FRF;GRD;IEP;ITL;LUF;MTL;NLG;ATS;PTE;SIT;SKK;ESP;CYP;BEF;DEM;LTL;LVL
EUR;0,00%;0,39%;1,81%;2,18%;1,96%;2,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
DKK;0,39%;0,00%;2,24%;2,62%;2,40%;2,44%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%;0,39%
BGN;1,81%;2,24%;0,00%;4,06%;3,85%;3,89%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%;1,81%
XOF;2,18%;2,62%;4,06%;0,00%;4,23%;4,27%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%;2,18%
XAF;1,96%;2,40%;3,85%;4,23%;0,00%;4,04%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%;1,96%
KMF;2,00%;2,44%;3,89%;4,27%;4,04%;0,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%;2,00%
EEK;0,00%;0,39%;1,81%;2,18%;1,96%;2,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
FIM;0,00%;0,39%;1,81%;2,18%;1,96%;2,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
FRF;0,00%;0,39%;1,81%;2,18%;1,96%;2,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
GRD;0,00%;0,39%;1,81%;2,18%;1,96%;2,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
